,Neuron01,Neuron02,Neuron03,Neuron04,Neuron05,Neuron06,Neuron07,Neuron08,Neuron09,Neuron10,Neuron11,Neuron12,Neuron13,Neuron14,Neuron15,Neuron16,Neuron17,Neuron18,Neuron19,Neuron20,Neuron21,Neuron22,Neuron23,Neuron24,Neuron25,Neuron26,Neuron27,Neuron28,Neuron29,Neuron30
483,-15.219216,0.05627199,-3.918706,-5.496996,-4.872557,-3.2895439,-0.83516365,-13.8231945,-0.23285928,-14.943913,-11.2777815,0.047027834,-5.520599,-4.0710654,-5.1378794,-8.109475,-5.2384186,-9.771832,-7.4464664,-7.74516,-14.4560585,-5.333902,-8.009995,-7.9359117,-9.062734,-0.77147925,-0.04967108,-2.690834,-4.4247437,-6.30913
490,-13.122545,-1.4427052,-0.5021345,-2.7968645,-2.6750643,-1.7802628,-0.13779067,-9.584401,-1.5368326,-13.251073,-4.974502,0.59686327,-6.467273,-1.6600157,-2.3775554,-1.3473475,-5.4587646,-6.2068076,-7.6697526,-6.2038765,-13.418236,-3.9733853,-6.983478,-7.3822575,-7.9178753,-1.1143651,-2.8311646,-0.96900505,-1.048965,-3.043287
497,-14.301284,0.2895195,-2.0792525,-4.4755235,-4.3796782,-2.3996744,-1.1681254,-13.279809,0.2075989,-14.2865305,-10.557525,1.1395441,-5.920665,-3.6165245,-3.5849261,-7.4098077,-5.4044003,-8.1297655,-7.3929157,-7.407311,-13.740362,-4.8209543,-7.7337074,-7.3503127,-7.735321,-1.0137854,-0.19171172,-1.7342217,-2.5066993,-4.311191
505,-12.571178,-1.47757,-0.9007777,-2.8512235,-3.4150186,-1.2319459,-1.5399083,-10.532428,-1.1526483,-13.320466,-7.4749146,0.506697,-5.7622023,-2.9118145,-2.6209145,-4.595874,-4.514684,-6.854599,-8.248728,-7.141251,-13.820333,-3.973563,-7.0653105,-7.9297724,-7.0733886,-1.0816131,-1.7360835,-0.7526702,-0.633839,-5.4290624
512,-14.02482,-0.47946566,-2.5461822,-4.5097146,-5.0464997,-2.974453,-2.1813247,-13.375476,0.6505565,-14.501593,-11.300542,-0.2850891,-5.5369897,-4.051746,-4.3203077,-7.6186147,-5.098682,-9.05635,-8.6139,-8.297129,-14.534906,-5.1827126,-8.066398,-6.2376227,-7.560709,-0.5195399,0.79159623,-1.9938263,-2.9715984,-5.7009144
520,-11.3616295,-1.3873656,-1.6341655,-2.6424422,-3.309438,-3.4441032,-2.847424,-9.641774,-0.8132443,-13.980016,-7.9332485,-2.183252,-6.1353254,-2.6910007,-4.3847284,-3.918821,-7.3455625,-9.212449,-8.235114,-7.306048,-14.545242,-4.823381,-6.7534833,-6.6155963,-5.7339106,-0.97988695,-0.19841473,-0.40817946,-0.6241149,-6.342879
527,-8.862573,-0.97525936,-2.20595,-2.0412095,-4.1133766,-4.512209,-2.2856774,-8.100437,-0.600837,-13.947373,-9.121445,-3.7251792,-6.7586145,-3.4357932,-3.557038,-2.89047,-8.962831,-9.223352,-9.089082,-8.208605,-14.665144,-4.733534,-7.2112174,-5.312529,-6.2947297,-0.76198715,0.26305804,-1.237978,-1.0539503,-5.2213817
535,-5.1333055,-1.9431729,-1.6956409,-0.5138676,-4.9868436,-3.804513,-1.7892103,-4.095925,-1.822156,-13.252418,-7.731048,-4.292832,-7.553771,-4.031452,-2.180501,0.024018494,-10.243181,-7.184107,-9.392781,-8.731229,-14.383741,-3.7262125,-7.0055366,-4.9322023,-6.450462,-0.7318469,-0.83473366,-1.1450869,-0.283992,-4.275189
543,-4.313112,-4.7026324,-0.95765,0.06752987,-5.36766,-3.1723132,-2.0603685,-3.7744987,-1.6068285,-12.273284,-5.921377,-5.813609,-9.135642,-4.795015,-1.373185,2.08778,-11.372392,-4.3709955,-7.801488,-8.507138,-14.139769,-3.6899014,-5.8169985,-6.568543,-6.2124014,-1.4893814,-1.1671503,-0.6193346,0.73361707,-2.4713473
551,-2.8339078,-4.4089146,-0.43972862,0.37986287,-7.357351,-2.4871564,-1.7639302,-3.5112565,-1.0372993,-10.923187,-6.798751,-4.619161,-8.902285,-6.7560096,-0.3524918,3.2734547,-11.580043,-2.8413522,-7.8236513,-8.773087,-13.210711,-2.5917282,-4.955385,-7.076797,-6.214563,-1.0424459,-0.9701639,-0.7393407,0.77124065,-0.24535586
559,-2.8559492,-3.9608793,-0.31120816,0.09601025,-6.8351617,-2.4392068,-1.7084461,-3.3690197,-0.9577053,-10.405109,-6.888946,-4.326158,-8.689588,-6.667665,0.22174037,2.621505,-11.491873,-2.2332995,-8.91754,-9.347003,-13.259919,-2.4730392,-5.135508,-7.142617,-6.3995113,-1.1292543,-0.95584905,-1.3658742,0.5390694,-0.5138039
567,-2.3299112,-4.3718233,-0.05227358,0.20942217,-6.578368,-1.9749411,-2.0682693,-3.3503742,-0.75033176,-9.9053135,-7.601184,-3.581674,-8.636715,-5.9344363,0.97266614,2.566447,-11.08548,-1.8474512,-9.126807,-9.528441,-13.003148,-2.2852495,-5.1862125,-6.8702145,-6.1615205,-0.97462255,-0.81333876,-1.5153594,0.44781527,0.2585758
575,-2.146471,-5.2971096,0.056393757,-0.43518862,-7.471444,-1.5869576,-2.2909117,-5.6048336,-0.009186504,-9.727031,-9.468693,-2.9604769,-8.999477,-7.1206326,1.0181131,2.3105154,-11.082593,-0.9298685,-7.98506,-9.356541,-12.941241,-2.077249,-4.4171743,-7.1936364,-6.4579725,-1.1086028,-0.16430661,-1.7946793,0.19744565,1.4918311
584,-2.3678336,-5.8530326,0.27718693,-1.0284344,-7.390964,-1.12666,-2.674908,-6.926061,0.22466798,-8.9410515,-10.107497,-2.8236446,-8.964472,-7.162557,1.1051257,2.122862,-10.758388,-0.08884947,-7.071223,-9.177325,-12.49341,-1.9367231,-3.6561396,-7.9335485,-5.9109116,-1.711316,-0.21258332,-1.4717308,0.018754937,1.7672306
592,-2.2840903,-5.612401,0.12550914,-1.2807695,-6.528664,-0.5715059,-2.4228773,-7.1366735,-0.4861988,-7.7907515,-9.963899,-1.6708618,-7.6320233,-6.375863,0.7127608,0.9715357,-9.893895,-1.4206952,-8.746085,-9.637996,-12.769303,-1.3338041,-3.385381,-7.56836,-5.6815057,-1.2452759,-0.16722938,-1.3482071,-0.008674442,0.41636938
601,-1.7034221,-5.822194,-0.084490664,-1.4129673,-6.5231524,-0.15576251,-2.5427797,-6.6969175,-0.3119413,-7.8665023,-10.191156,-1.5578406,-7.6862235,-6.092604,0.6245423,0.6770724,-9.796021,-0.9284607,-9.605445,-9.848612,-12.787595,-1.2786136,-3.4937232,-6.6141453,-5.7348604,-1.5520257,-0.039926384,-1.3269817,0.047057755,0.6447309
610,-0.89577734,-6.5323772,0.22928599,-1.4171898,-6.370014,-0.11494662,-2.6862283,-6.915614,-0.54127306,-8.15578,-9.963328,-1.7674197,-8.425721,-6.202586,0.5449624,1.0150924,-10.146046,-0.23666197,-9.333407,-9.755079,-12.947527,-1.1727492,-3.6342766,-6.7873273,-5.2891603,-1.8793434,-0.3568252,-0.69760776,0.3377919,1.0921994
619,-0.7725792,-6.993848,0.58574045,-1.6587186,-6.3871546,0.019252267,-2.853406,-7.038052,-0.85834444,-7.093062,-9.59733,-1.320755,-8.074234,-5.8628225,0.45431295,0.38415986,-9.8061905,0.08150304,-9.547476,-9.828893,-12.65544,-0.9369598,-3.4203398,-7.65773,-5.0648413,-2.047085,-0.669958,-0.5966876,0.2760262,0.94866776
628,-1.3241066,-7.6179824,0.48515677,-2.226267,-6.550359,0.019897314,-3.1919262,-7.7579246,-1.1301072,-6.2653,-10.051873,-0.9163934,-8.243408,-6.2814503,0.63034195,-0.59735644,-9.967269,0.22535312,-9.605002,-9.777597,-12.479122,-0.8117979,-3.3940234,-7.549439,-5.629438,-1.8999906,-0.8557526,-0.84232074,-0.21744083,0.58142585
637,-1.4601103,-8.243364,0.43808073,-2.5202322,-6.5385203,-0.09345398,-2.9941654,-8.483395,-0.71077174,-5.693965,-10.7355,-0.9577283,-8.693896,-6.3845377,0.48991987,-0.9215921,-10.356589,1.1739476,-9.3075075,-9.833333,-11.919055,-0.8774219,-3.4328063,-7.9104614,-5.8077245,-2.0941708,-0.78735805,-1.0234702,-0.28604957,0.9050827
